name,loc_type,street,City,State,Zip
Marketplace,Supermarkets & Super Stores,1201 S Eads St,Arlington,VA,22202
Crystal Foods Inc,Supermarkets & Super Stores,1900 S Eads St,Arlington,VA,22202
Westover Market,Supermarkets & Super Stores,5863 Washington Blvd,Arlington,VA,22205
Crystal Convenience,Supermarkets & Super Stores,1901 S Bell St,Arlington,VA,22202
Asia Market,Supermarkets & Super Stores,5143 Lee Hwy,Arlington,VA,22207
Bangla Bazar,Supermarkets & Super Stores,5149 Lee Hwy,Arlington,VA,22207
Convenience Express,Supermarkets & Super Stores,2450 Crystal Dr Ste 115,Arlington,VA,22202
7 Seven Food Store,Supermarkets & Super Stores,3518 Moncure Ave,Falls Church,VA,
Food Fair Supermarket,Supermarkets & Super Stores,6019 Leesburg Pike,Falls Church,VA,
Aldi,Supermarkets & Super Stores,4602 Kenmore Ave,Alexandria,VA,22304
The Fresh Market,Supermarkets & Super Stores,3680 King St,Alexandria,VA,22302
Giant Food,Supermarkets & Super Stores,3680 King St,Alexandria,VA,22302
24 Express Food Store,Supermarkets & Super Stores,4007 Mount Vernon Ave,Alexandria,VA,22305
The Tiger Market and Bakery,Supermarkets & Super Stores,3903 Mount Vernon Ave,Alexandria,VA,22305
M La Tiendona Market,Supermarkets & Super Stores,3836 Mount Vernon Ave,Alexandria,VA,22305
Giant Food,Supermarkets & Super Stores,1476 N Beauregard St,Alexandria,VA,22311
Foodway Inc,Supermarkets & Super Stores,206 W Glebe Rd,Alexandria,VA,22305
Shoppers Food & Pharmacy,Supermarkets & Super Stores,6360 Seven Corners Ctr,Falls Church,VA,
Shoppers Food & Pharmacy,Supermarkets & Super Stores,3801 Jefferson Davis Hwy,Alexandria,VA,22305
Tower Foods,Supermarkets & Super Stores,1600 S Eads St,Arlington,VA,22202
Cho Eden Supermarket,Supermarkets & Super Stores,6763 Wilson Blvd,Falls Church,VA,
Giant Food,Supermarkets & Super Stores,5730 Edsall Rd,Alexandria,VA,22304
Alexandria Citgo,Supermarkets & Super Stores,2312 Mount Vernon Ave,Alexandria,VA,22301
Giant Food,Supermarkets & Super Stores,621 E Glebe Rd,Alexandria,VA,22305
Colonial Market,Supermarkets & Super Stores,1605 Commonwealth Ave,Alexandria,VA,22301
Aldi,Supermarkets & Super Stores,4580 Duke St,Alexandria,VA,22304
Adobea International African Market,Supermarkets & Super Stores,5145 Duke St,Alexandria,VA,22304
Universal Market,Supermarkets & Super Stores,1513 Mount Vernon Ave,Alexandria,VA,22301
Stop & Shop,Supermarkets & Super Stores,3131 Duke St,Alexandria,VA,22314
Giant Food,Supermarkets & Super Stores,3131 Duke St,Alexandria,VA,22314
Aldi,Supermarkets & Super Stores,425 E Monroe Ave,Alexandria,VA,22301
Giant Food,Supermarkets & Super Stores,425 E Monroe Ave,Alexandria,VA,22301
Shoppers Food & Pharmacy,Supermarkets & Super Stores,6200 Little River Tpke,Alexandria,VA,22312
Giant Food,Supermarkets & Super Stores,6200 Little River Tpke,Alexandria,VA,22312
Giant Pharmacy,Supermarkets & Super Stores,6200 Little River Tpke,Alexandria,VA,22312
Capital Diversified Foods,Supermarkets & Super Stores,131 E Broad St,Falls Church,VA,
Shoppers Food & Pharmacy,Supermarkets & Super Stores,6255 Little River Tpke,Alexandria,VA,22312
Green Paradise Alexandria,Supermarkets & Super Stores,6255 Little River Tpke,Alexandria,VA,22312
Grand Mart Inc,Supermarkets & Super Stores,6255 Little River Tpke,Alexandria,VA,22312
Eeshan Inc,Supermarkets & Super Stores,265 S Van Dorn St,Alexandria,VA,22304
Troika Gastronom,Supermarkets & Super Stores,169 Hillwood Ave,Falls Church,VA,
Aldi,Supermarkets & Super Stores,155 Hillwood Ave,Falls Church,VA,
Mom Made Foods,Supermarkets & Super Stores,1423 Powhatan St Ste 10,Alexandria,VA,22314
Duniya Foods,Supermarkets & Super Stores,5703 Edsall Rd,Alexandria,VA,22304
Kare Baltena International Market,Supermarkets & Super Stores,503 S Pickett St,Alexandria,VA,22304
The Local Market,Supermarkets & Super Stores,246 W Broad St,Falls Church,VA,
La Miguelena,Supermarkets & Super Stores,402 S Washington St,Falls Church,VA,
Giant Food,Supermarkets & Super Stores,5740 Edsall Rd,Alexandria,VA,22304
Lee's Market,Supermarkets & Super Stores,801 Bashford Ln,Alexandria,VA,22314
Fair Price International Supermarket,Supermarkets & Super Stores,5703 Edsall Rd Ste C,Alexandria,VA,22304
Grocery Market Loza,Supermarkets & Super Stores,10 S Jordan St,Alexandria,VA,22304
Whole Foods Market,Supermarkets & Super Stores,1700 Duke St,Alexandria,VA,22314
Giant Food,Supermarkets & Super Stores,530 First St,Alexandria,VA,22314
Global Foods,Supermarkets & Super Stores,4928 Eisenhower Ave,Alexandria,VA,22304
Mi Tierra Mercado Latino,Supermarkets & Super Stores,6531 Little River Tpke,Alexandria,VA,22312
Uptown Cleaners,Supermarkets & Super Stores,2281 Eisenhower Ave,Alexandria,VA,22314
Shoppers Food & Pharmacy,Supermarkets & Super Stores,3801 Richmond Hwy,Alexandria,VA,22303
Super A Market,Supermarkets & Super Stores,2800 Graham Rd,Falls Church,VA,
La Latina Market,Supermarkets & Super Stores,5838 N Kings Hwy Ste C,Alexandria,VA,22303
Bestway Virginia,Supermarkets & Super Stores,3109 Graham Rd,Falls Church,VA,
Kovida Inc,Supermarkets & Super Stores,7222 Arlington Blvd,Falls Church,VA,
Shoppers Food & Pharmacy,Supermarkets & Super Stores,24 King St,Alexandria,VA,22314
Aldi,Supermarkets & Super Stores,7006 Columbia Pike,Annandale,VA,22003
Magruder's,Supermarkets & Super Stores,7010 Columbia Pike,Annandale,VA,22003
Giant Food,Supermarkets & Super Stores,7235 Arlington Blvd,Falls Church,VA,
Bien Hoa Oriental Su,Supermarkets & Super Stores,7240 Arlington Blvd,Falls Church,VA,
Giant Food,Supermarkets & Super Stores,1230 W Broad St,Falls Church,VA,
Montebello Market & Restaurant,Supermarkets & Super Stores,5905 Mount Eagle Dr Ste 3,Alexandria,VA,22303
Dongshan Enterprises,Supermarkets & Super Stores,6222 Richmond Hwy,Alexandria,VA,22303
Giant Food,Supermarkets & Super Stores,7137 Columbia Pike,Annandale,VA,22003
Walmart Supercenter,Supermarkets & Super Stores,6303 Richmond Hwy,Alexandria,VA,22306
Express 1 Food Mart,Supermarkets & Super Stores,4713 Backlick Rd,Annandale,VA,22003
Rainbow Foods,Supermarkets & Super Stores,7326 Little River Tpke,Annandale,VA,22003
Giant Food,Supermarkets & Super Stores,6980 Bradlick Shopping Ctr,Annandale,VA,22003
US Foods,Supermarkets & Super Stores,5701 General Washington Dr,Alexandria,VA,22312
Giant Food,Supermarkets & Super Stores,6980 Braddock Rd,Annandale,VA,22003
J K Enterprizes Inc,Supermarkets & Super Stores,7600 Lee Hwy,Falls Church,VA,
Aldi,Supermarkets & Super Stores,8100a Arlington Blvd,Falls Church,VA,
Grocery All Baba,Supermarkets & Super Stores,6701 Richmond Hwy Ste 104,Alexandria,VA,22306
Giant Food,Supermarkets & Super Stores,6800 Richmond Hwy,Alexandria,VA,22306
Whole Foods Market,Supermarkets & Super Stores,7511 Leesburg Pike,Falls Church,VA,
Plaza Latina Market,Supermarkets & Super Stores,2190 Pimmit Dr Ste N,Falls Church,VA,
Giant Food,Supermarkets & Super Stores,1454 Chain Bridge Rd,McLean,VA,
Walmart,Supermarkets & Super Stores,5885 Kingstowne Blvd,Alexandria,VA,22315
Giant Food,Supermarkets & Super Stores,7558 Telegraph Rd,Alexandria,VA,22315
Walmart Connection Center,Supermarkets & Super Stores,5800 Kingstowne Ctr,Alexandria,VA,22315
Giant Food,Supermarkets & Super Stores,5870 Kingstowne Ctr,Alexandria,VA,22315
Phuoc Hoa Market,Supermarkets & Super Stores,6977 Hechinger Dr # 697,Springfield,VA,22151
Giant Food,Supermarkets & Super Stores,5870 Kingstowne Blvd,Alexandria,VA,22315
H Mart,Supermarkets & Super Stores,7885 Heritage Dr,Annandale,VA,22003
H Mart,Supermarkets & Super Stores,8103 Lee Hwy,Falls Church,VA,
La Placita Market,Supermarkets & Super Stores,2929 Gallows Rd Ste 103a,Falls Church,VA,
Aldi,Supermarkets & Super Stores,6129 Backlick Rd,Springfield,VA,22150
Metro Market,Supermarkets & Super Stores,6127 Backlick Rd,Springfield,VA,22150
Shoppers Food & Pharmacy,Supermarkets & Super Stores,7005 Manchester Blvd,Alexandria,VA,22310
Festival at Manchester Lakes,Supermarkets & Super Stores,7005 Manchester Blvd,Alexandria,VA,22310
Mija Ro,Supermarkets & Super Stores,1800 Old Meadow Rd Lbby 3,McLean,VA,
Shoppers Food & Pharmacy,Supermarkets & Super Stores,1505 Farm Credit Dr,McLean,VA,
La Latina Market,Supermarkets & Super Stores,7010 Commerce St,Springfield,VA,22150
Giant Food,Supermarkets & Super Stores,Springfield Plz,Springfield,VA,22150
Afghan Mini Market,Supermarkets & Super Stores,6566 Backlick Rd,Springfield,VA,22150
Giant Food,Supermarkets & Super Stores,6426 Springfield Plz,Springfield,VA,22150
Royal Trading Corporation,Supermarkets & Super Stores,8424 Lee Hwy,Fairfax,VA,22031
Shoppers Food & Pharmacy,Supermarkets & Super Stores,7660 Richmond Hwy,Alexandria,VA,22306
Shri Krishna Grocery,Supermarkets & Super Stores,7106 Brookfield Plz,Springfield,VA,22150
Walmart,Supermarkets & Super Stores,7910 Richmond Hwy,Alexandria,VA,22306
Market Place For Change,Supermarkets & Super Stores,8120 Richmond Hwy,Alexandria,VA,22309
Richway Rotonda Inc,Supermarkets & Super Stores,8352 Greensboro Dr,McLean,VA,
A & R Foods,Supermarkets & Super Stores,5701 Backlick Rd,Springfield,VA,22151
Desi Bazar,Supermarkets & Super Stores,6127 Backlick Rd,Springfield,VA,22150
Markato Market Inc,Supermarkets & Super Stores,6816 Bland St,Springfield,VA,22150
Wegmans,Supermarkets & Super Stores,45131 Columbia Dr,Alexandria,VA,22307
International Gourmet Foods,Supermarkets & Super Stores,7520 Fullerton Rd,Springfield,VA,22153
Walmart Supercenter,Supermarkets & Super Stores,1500 Cornerside Blvd Ste B,Vienna,VA,22182
C-Store,Supermarkets & Super Stores,8178 Richmond Hwy,Alexandria,VA,22309
Aldi,Supermarkets & Super Stores,8256 Richmond Hwy,Alexandria,VA,22309
Wegmans,Supermarkets & Super Stores,7950 Telegraph Rd,Alexandria,VA,22315
Giant Food,Supermarkets & Super Stores,8130 Old Keene Mill Rd,Springfield,VA,22152
Giant Food,Supermarkets & Super Stores,8230 Old Keene Mill Rd,Springfield,VA,22152
The Fresh Market,Supermarkets & Super Stores,150 Branch Rd SE,Vienna,VA,22180
Giant Food,Supermarkets & Super Stores,359 Maple Ave E,Vienna,VA,22180
Spring Hill Carryout,Supermarkets & Super Stores,1038 Spring Hill Rd,McLean,VA,
Giant Food,Supermarkets & Super Stores,8320 Old Keene Mill Rd,Springfield,VA,22152
Bestway,Supermarkets & Super Stores,8457 Richmond Hwy,Alexandria,VA,22309
Whole Foods Market,Supermarkets & Super Stores,143 Maple Ave E,Vienna,VA,22180
Whole Foods Market,Supermarkets & Super Stores,8402 Old Keene Mill Rd,Springfield,VA,22152
Department of Alcoholic Beverage Control,Supermarkets & Super Stores,8428 Old Keene Mill Rd,Springfield,VA,22152
Alrafdain Market,Supermarkets & Super Stores,3220 Old Pickett Rd,Fairfax,VA,22031
Super Mini Mart,Supermarkets & Super Stores,8792 Sacramento Dr Ste A,Alexandria,VA,22309
El Compadre Multi Service,Supermarkets & Super Stores,8723 Cooper Rd,Alexandria,VA,22309
Shoppers Food & Pharmacy,Supermarkets & Super Stores,9622 Main St,Fairfax,VA,22031
Duniya Foods Inc,Supermarkets & Super Stores,8080 Alban Rd,Springfield,VA,22150
My Vo Produce,Supermarkets & Super Stores,7969 Twist Ln,Springfield,VA,22153
China International Distributing Foods Co,Supermarkets & Super Stores,7715 Fullerton Rd,Springfield,VA,22153
Giant Food,Supermarkets & Super Stores,8074 Rolling Road,Springfield,VA,22153
Giant Pharmacy,Supermarkets & Super Stores,8074 Rolling Road,Springfield,VA,22153
Giant Food,Supermarkets & Super Stores,10669 Braddock Rd,Fairfax,VA,22032
Giant Food,Supermarkets & Super Stores,2932 Chain Bridge Rd,Oakton,VA,22124
Point 50,Supermarkets & Super Stores,10334 Fairfax Blvd,Fairfax,VA,22030
H Mart,Supermarkets & Super Stores,10780 Fairfax Blvd,Fairfax,VA,22030
Giant Food,Supermarkets & Super Stores,10653 Braddock Rd,Fairfax,VA,22032
India Bazaar,Supermarkets & Super Stores,10980 Fairfax Blvd,Fairfax,VA,22030
Aldi,Supermarkets & Super Stores,11001 Lee Hwy,Fairfax,VA,22030
Crosspoint Market,Supermarkets & Super Stores,8912 Village Shops Dr,Fairfax,VA,
Kamp Washington,Supermarkets & Super Stores,11054 Lee Hwy,Fairfax,VA,22030
Walmart Supercenter,Supermarkets & Super Stores,11181 Lee Hwy,Fairfax,VA,22030
Halal Market Inc,Supermarkets & Super Stores,4072 Jermantown Rd,Fairfax,VA,22030
K-7 Dairy Store,Grocery Stores,2516 Columbia Pike,Arlington,VA,22204
El Latino African Market,Grocery Stores,4611 Columbia Pike,Arlington,VA,22204
Friendly Trading Service,Grocery Stores,4611 Columbia Pike,Arlington,VA,22204
Central Market,Grocery Stores,1607 S Glebe Rd,Arlington,VA,22204
Sangam,Restaurants,1211 N Glebe Rd,Arlington,VA,22201
Dominion Market,Grocery Stores,1201 S Courthouse Rd,Arlington,VA,22204
Don Arturo Restaurante,Mexican Restaurants,2716 Washington Blvd,Arlington,VA,22201
Kimball Union Academy,Grocery Stores,4200 Wilson Blvd Suite 800,Arlington,VA,22203
Golden Glory,Grocery Stores,900 N Randolph St Lbby 100,Arlington,VA,22203
Lucky Seven Food Mart,Convenience Stores,2406 S Shirlington Rd,Arlington,VA,22206
Trader Joe's,Grocery Stores,1109 N Highland St,Arlington,VA,22201
Dama Market & Restaurant Inc,African Restaurants,1503 Columbia Pike,Arlington,VA,22204
Sun's Deli Market,Convenience Stores,1401 N Taft St,Arlington,VA,22201
Fort Myer Commissary,Grocery Stores,523 Carpenter Rd,Fort Belvoir,VA,
Cherry Grocery,Grocery Stores,5601 Seminary Rd Ste 1n204,Falls Church,VA,
Kebericho,Grocery Stores,3811 S George Mason Dr # C,Falls Church,VA,
SHOWA Cultural Market,Natural Foods,3813 S George Mason Dr,Falls Church,VA,
Park Center Lobby Shoppe,Grocery Stores,3101 Park Center Dr Ste 106,Alexandria,VA,22302
US Food & Nutrition Service,Grocery Stores,3101 Park Center Dr,Alexandria,VA,22302
DNS Family Market,Grocery Stores,5820 Seminary Rd,Falls Church,VA,
Taza,Grocers-Ethnic Foods,5820 Seminary Rd,Falls Church,VA,
Nazret Cultural Foods,African Restaurants,3821 S George Mason Dr,Falls Church,VA,
Mohammed Jemal,Thrift Shops,3407 Payne St,Falls Church,VA,
Baraka Supermarket,Grocery Stores,3407 Payne St,Falls Church,VA,
Awash Market & Butcher Shop,Meat Markets,3825 S George Mason Dr,Falls Church,VA,
