,Zip,Beds,2009,2014,2019,10 years appreciation,5 years appreciation
99,20020,2,173416.55,163635.75362318842,195302.66666666666,12.62%,19.35%
100,20020,3,233195.13095238095,254975.5078125,339277.77777777775,45.49%,33.06%
101,20020,4,250658.33333333334,302963.75,480714.28571428574,91.78%,58.67%
102,20020,5,252250.0,353414.28571428574,310000.0,22.89%,-12.28%
103,20024,0,157926.4705882353,177710.7142857143,262497.5,66.22%,47.71%
104,20024,1,218906.0,273098.22,370991.53846153844,69.48%,35.85%
105,20024,2,364276.78571428574,395069.23076923075,488000.0,33.96%,23.52%
106,20024,3,412300.0,548331.8181818182,756666.6666666666,83.52%,37.99%
107,20032,1,79950.0,36375.0,124233.33333333333,55.39%,241.53%
108,20032,2,125147.03846153847,130418.0,244083.08333333334,95.04%,87.15%
109,20032,3,164919.5,175275.43859649124,359805.2631578947,118.17%,105.28%
110,20032,4,181960.0,242718.18181818182,415630.0,128.42%,71.24%
111,20036,0,238795.45454545456,244980.55555555556,300000.0,25.63%,22.46%
112,20036,1,312567.8333333333,361376.5060240964,422463.625,35.16%,16.90%
113,20036,2,527533.3333333334,646765.7777777778,832875.0,57.88%,28.78%
114,20036,3,1015000.0,1381250.0,1110000.0,9.36%,-19.64%
115,20037,0,216025.92592592593,220718.75,258600.0,19.71%,17.16%
116,20037,1,369801.39743589744,435447.73195876286,394102.6666666667,6.57%,-9.49%
117,20037,2,791986.6883116884,894841.1971830986,745857.1428571428,-5.82%,-16.65%
118,20037,3,2196666.6666666665,1668166.6666666667,1150000.0,-47.65%,-31.06%
