,latitude,longitude
239,-76.90609,38.963589
240,-76.90554,38.965118
241,-76.90316,38.966187
242,-76.903381,38.969116
243,-76.899277,38.972309
244,-76.898819,38.975845
245,-76.894463,38.979492
246,-76.892639,38.979664
247,-76.892311,38.985119
248,-76.890121,38.985157
249,-76.890091,38.985718
250,-76.890053,38.985081
251,-76.891617,38.984642
252,-76.891624,38.978649
253,-76.896896,38.97393
254,-76.897339,38.970371
255,-76.900749,38.967117
256,-76.900085,38.965401
257,-76.896255,38.966953
258,-76.892067,38.965118
259,-76.894325,38.96312
260,-76.891121,38.958096
261,-76.889816,38.957397
262,-76.889557,38.955654
263,-76.887962,38.955238
264,-76.888084,38.953568
265,-76.896088,38.959736
266,-76.906578,38.953117
267,-76.90609,38.948551
268,-76.894089,38.950371
269,-76.89209,38.949982
270,-76.890091,38.948406
271,-76.886086,38.950916
272,-76.885307,38.949898
273,-76.885666,38.947117
274,-76.888634,38.94566
275,-76.89209,38.941055
276,-76.89608,38.94215
277,-76.89666,38.941692
278,-76.896729,38.940475
279,-76.89537,38.939835
280,-76.894218,38.937119
281,-76.895988,38.93512
282,-76.893776,38.934807
283,-76.893951,38.936977
284,-76.892883,38.936325
285,-76.889656,38.93668
286,-76.886917,38.939945
287,-76.885483,38.940514
288,-76.883163,38.943119
289,-76.88208,38.948677
290,-76.881721,38.94548
291,-76.880081,38.945427
292,-76.87809,38.943607
293,-76.875053,38.94408
294,-76.874084,38.945599
295,-76.858421,38.945454
296,-76.858086,38.94635
297,-76.856087,38.946812
298,-76.855774,38.945435
299,-76.851654,38.945118
300,-76.855751,38.944782
301,-76.856087,38.940567
302,-76.856155,38.943054
303,-76.860085,38.942947
304,-76.860474,38.94474
305,-76.872086,38.943539
306,-76.873299,38.939117
307,-76.876091,38.93647
308,-76.878342,38.936871
309,-76.879265,38.939941
310,-76.882645,38.939674
311,-76.884438,38.935467
312,-76.885406,38.93512
313,-76.885223,38.933117
314,-76.887268,38.931114
315,-76.886864,38.93034
316,-76.885223,38.930256
317,-76.884087,38.931976
318,-76.881058,38.928154
319,-76.877037,38.927116
320,-76.879288,38.926315
321,-76.880089,38.924927
322,-76.882324,38.92535
323,-76.883942,38.922974
324,-76.886086,38.921829
325,-76.888084,38.922745
326,-76.89209,38.922325
327,-76.89399,38.923222
328,-76.896088,38.926884
329,-76.896843,38.925873
330,-76.900383,38.925419
331,-76.900253,38.921284
332,-76.901031,38.92112
333,-76.898087,38.921543
334,-76.896088,38.919998
335,-76.893463,38.91975
336,-76.890793,38.917114
337,-76.898087,38.915516
338,-76.901802,38.913116
339,-76.900085,38.907936
340,-76.898247,38.909283
341,-76.896225,38.909119
342,-76.897713,38.908749
343,-76.897919,38.90696
344,-76.90126,38.906292
345,-76.902084,38.903717
346,-76.904091,38.904453
347,-76.908089,38.901646
348,-76.91021,38.901245
349,-76.909554,38.899654
350,-76.910278,38.897118
351,-76.909073,38.895119
352,-76.910088,38.892197
353,-76.911781,38.893421
354,-76.916084,38.893719
355,-76.918091,38.892639
356,-76.92009,38.892849
357,-76.926117,38.891117
