MLS #,Cat,Status,Address,City,County,Zip,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1002883834,RES,CLS,1629 Rosedale St NE,Washington,"Washington, DC",20002,3,Jan-00,Row/Townhouse,5/16/14,William Sawyer & Company (WSC1),"$399,000 "
1002884610,RES,CLS,1138 Abbey Pl NE,Washington,"Washington, DC",20002,3,1-Feb,Row/Townhouse,6/5/14,"Heymann Realty, LLC (HEYR1)","$667,000 "
1002885538,RES,CLS,12 Evarts St NE,Washington,"Washington, DC",20002,4,1-Mar,Row/Townhouse,3/16/14,DCRE RESIDENTIAL LLC (DRESI1),"$699,500 "
1002885962,RES,CLS,1236 G St NE,Washington,"Washington, DC",20002,3,1-Jan,Row/Townhouse,4/16/14,RE/MAX Allegiance (RMAX20),"$766,205 "
1002888730,RES,CLS,327 9th Street NE,Washington,"Washington, DC",20002,5,1-Apr,Row/Townhouse,8/7/14,TTR Sotheby's International Realty (TTRS5),"$1,625,000 "
1002889852,RES,CLS,410 15th St NE #27,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,3/14/14,Coldwell Banker Residential Brokerage (CBRB52),"$245,000 "
1002891172,RES,CLS,215 I St NE #111,Washington,"Washington, DC",20002,1,1-Jan,Unit/Flat/Apartment,3/19/14,Keller Williams Capital Properties (KWCP1),"$614,000 "
1002891764,RES,CLS,311 U St NE,Washington,"Washington, DC",20002,3,1-Mar,Row/Townhouse,5/30/14,"Long & Foster Real Estate, Inc. (LNG33)","$570,000 "
1002891966,RES,CLS,624 C St NE,Washington,"Washington, DC",20002,2,1-Feb,Row/Townhouse,5/9/14,Coldwell Banker Residential Brokerage (CBRB52),"$1,100,000 "
1002893352,RES,CLS,2004 3rd St NE #102,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,4/28/14,Keller Williams Capital Properties (KWCP2),"$225,000 "
1002893388,RES,CLS,1426 Duncan St NE,Washington,"Washington, DC",20002,2,1-Feb,Row/Townhouse,4/1/14,Keller Williams Capital Properties (KWCP1),"$555,000 "
1002893526,RES,CLS,410 5th St NE #33,Washington,"Washington, DC",20002,2,Feb-00,Unit/Flat/Apartment,4/30/14,RE/MAX Allegiance (RMAX17),"$585,000 "
1002893552,RES,CLS,1938 Bennett Pl NE,Washington,"Washington, DC",20002,4,1-Mar,Row/Townhouse,4/28/14,Fairfax Realty Select (FXR1),"$472,500 "
1002893988,RES,CLS,1224 Florida Ave NE,Washington,"Washington, DC",20002,3,Jan-00,Row/Townhouse,4/25/14,Associates of Ekuban Realty Svcs. (EAR1),"$446,000 "
1002894742,RES,CLS,1018 Florida Ave NE #102,Washington,"Washington, DC",20002,1,1-Jan,Unit/Flat/Apartment,5/16/14,RE/MAX Allegiance (RMAX52),"$259,000 "
1002896550,RES,CLS,315 G St NE #105,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,6/4/14,Centurion Properties (CNTP1),"$319,000 "
1002898198,RES,CLS,1404 Morse St NE,Washington,"Washington, DC",20002,3,Feb-00,Row/Townhouse,4/30/14,EXIT Right Realty (EXRT1),"$435,000 "
1002898586,RES,CLS,51 14th St NE #51,Washington,"Washington, DC",20002,1,Jan-00,Other,7/18/14,RE/MAX Allegiance (RMAX17),"$335,000 "
1002900420,RES,CLS,1246 C St NE,Washington,"Washington, DC",20002,2,1-Jan,Row/Townhouse,4/21/14,Coldwell Banker Residential Brokerage (CBRB52),"$739,000 "
1002900632,RES,CLS,645 14th Pl NE,Washington,"Washington, DC",20002,3,Feb-00,End of Row/Townhouse,4/30/14,Redfin Corp (REFC3),"$575,000 "
1002901446,RES,CLS,1743 L St NE,Washington,"Washington, DC",20002,2,Jan-00,End of Row/Townhouse,5/1/14,"District One Properties, LLC. (DISO1)","$350,000 "
1002902174,RES,CLS,19 Michigan Ave NE,Washington,"Washington, DC",20002,4,Feb-00,Row/Townhouse,4/28/14,Stages Premier (SRMD1),"$547,500 "
1002903038,RES,CLS,1244 16th St NE,Washington,"Washington, DC",20002,2,1-Feb,Row/Townhouse,5/22/14,RE/MAX Allegiance (RMAX20),"$391,000 "
1002903922,RES,CLS,12 Rhode Island Ave NE,Washington,"Washington, DC",20002,4,1-Feb,End of Row/Townhouse,6/13/14,Bankers Real Estate Brokerage Firm LLC. (BNRE1),"$495,000 "
1002904000,RES,CLS,906 11th St NE,Washington,"Washington, DC",20002,4,1-Mar,Row/Townhouse,5/19/14,"Long & Foster Real Estate, Inc. (LNG1)","$885,000 "
1002905344,RES,CLS,535 23rd Pl NE,Washington,"Washington, DC",20002,2,1-Mar,Row/Townhouse,5/2/14,All Service Real Estate (ALSE1),"$510,000 "
1002906374,RES,CLS,148 R St NE,Washington,"Washington, DC",20002,3,2-Feb,Row/Townhouse,3/28/14,DCRE RESIDENTIAL LLC (DRESI1),"$779,000 "
1002907074,RES,CLS,115 2nd St NE #12,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,6/2/14,Margaret S Lamberton Real Estate (MGSL1),"$335,000 "
1002907136,RES,CLS,1245 Owen Pl NE,Washington,"Washington, DC",20002,4,1-Jan,Row/Townhouse,4/18/14,Keller Williams Capital Properties (KWCP1),"$399,999 "
1002909332,RES,CLS,1326 Corbin Pl NE,Washington,"Washington, DC",20002,4,1-Feb,Row/Townhouse,4/30/14,"Fairfax Realty, Inc. (FXR16)","$763,264 "
1002910718,RES,CLS,2013 Gales St NE,Washington,"Washington, DC",20002,2,1-Feb,Row/Townhouse,5/16/14,Coldwell Banker Residential Brokerage (CBRB45),"$340,000 "
1002910968,RES,CLS,1842 L St NE,Washington,"Washington, DC",20002,2,1-Feb,Row/Townhouse,5/29/14,RE/MAX Realty Group (RMX3),"$399,999 "
1002911018,RES,CLS,1207 Queen St NE,Washington,"Washington, DC",20002,3,1-Mar,Row/Townhouse,5/5/14,"Long & Foster Real Estate, Inc. (LNG64)","$515,000 "
1002912076,RES,CLS,2118 4th St NE,Washington,"Washington, DC",20002,3,Feb-00,Row/Townhouse,6/10/14,Keller Williams Capital Properties (KWCP1),"$495,000 "
1002912892,RES,CLS,2335 3rd St NE,Washington,"Washington, DC",20002,2,1-Jan,Row/Townhouse,5/2/14,Keller Williams Capital Properties (KWCP1),"$417,500 "
1002913384,RES,CLS,643 3rd St NE,Washington,"Washington, DC",20002,3,1-Feb,End of Row/Townhouse,6/9/14,"Long & Foster Real Estate, Inc. (LNG44)","$850,000 "
1002914256,RES,CLS,1830 North Capitol St NW,Washington,"Washington, DC",20002,4,1-Feb,Detached,5/16/14,Berkshire Hathaway HomeServices PenFed Realty (PFED48),"$650,000 "
1002914796,RES,CLS,335 F St NE,Washington,"Washington, DC",20002,3,1-Feb,Row/Townhouse,4/24/14,Coldwell Banker Residential Brokerage (CBRB52),"$775,201 "
1002915524,RES,CLS,1900 4th St NE #2,Washington,"Washington, DC",20002,2,1-Feb,Unit/Flat/Apartment,8/12/14,DCRE RESIDENTIAL LLC (DRESI1),"$537,000 "
