Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20020,DCDC427376,RES,CLS,1616 Ridge Pl SE,Washington,"Washington, DC",2,Row/Townhouse,6/8/19,"Pearson Smith Realty, LLC (PSTH1)","$347,000 "
20020,DCDC427184,RES,CLS,2508 Elvans Rd SE,Washington,"Washington, DC",4,Row/Townhouse,8/23/19,KW Metro Center (KWR9),"$475,600 "
20020,DCDC427242,RES,CLS,2303 Minnesota Ave SE,Washington,"Washington, DC",4,Twin/Semi-Detached,8/28/19,RLAH Real Estate (RLAH2),"$567,000 "
20020,DCDC426840,RES,CLS,2053 38th St SE #B,Washington,"Washington, DC",2,Other,6/20/19,EXP Realty (EXXPR1),"$187,000 "
20020,DCDC426756,RES,CLS,2333 16th St SE #204,Washington,"Washington, DC",2,Unit/Flat/Apartment,7/3/19,Cosmopolitan Properties Real Estate Brokerage (CSMO1),"$155,500 "
20020,DCDC426638,RES,CLS,1423 Howard Rd SE,Washington,"Washington, DC",3,Twin/Semi-Detached,6/18/19,"Select Premium Properties, Inc (GRAN1)","$349,000 "
20020,DCDC426538,RES,CLS,4100 Southern Ave SE,Washington,"Washington, DC",3,Detached,8/23/19,XRealty.NET LLC (XRN1),"$420,000 "
20020,DCDC426202,RES,CLS,2645 Bowen Rd SE #B,Washington,"Washington, DC",3,End of Row/Townhouse,5/31/19,KW Metro Center (KWR17),"$230,000 "
20020,DCDC425870,RES,CLS,1244 U St SE,Washington,"Washington, DC",3,Row/Townhouse,8/29/19,United Real Estate HomeSource (RECU1),"$499,900 "
20020,DCDC425426,RES,CLS,3815 Pope St SE,Washington,"Washington, DC",4,Detached,6/7/19,Keller Williams Capital Properties (KWCP1),"$660,000 "
20020,DCDC425952,RES,CLS,3805 W St SE #101,Washington,"Washington, DC",2,Unit/Flat/Apartment,7/8/19,D.S.A. Properties & Investments LLC (DSPR1),"$130,000 "
20020,DCDC425766,RES,CLS,2610 Wade Rd SE #205,Washington,"Washington, DC",1,Unit/Flat/Apartment,6/19/19,"Central Properties, LLC, (CTRP1)","$124,900 "
20020,DCDC421254,RES,CLS,2026 Fort Davis St SE #202,Washington,"Washington, DC",2,Unit/Flat/Apartment,5/20/19,RE/MAX Allegiance (RMAX17),"$125,000 "
20020,DCDC425490,RES,CLS,2219 Hartford St SE,Washington,"Washington, DC",2,Row/Townhouse,8/20/19,RE/MAX 100 (RMAX1017),"$320,000 "
20020,DCDC425428,RES,CLS,2401 Savannah St SE,Washington,"Washington, DC",3,End of Row/Townhouse,6/10/19,EXIT Right Realty (EXRT1),"$265,000 "
