Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
22202,VAAR102622,RES,CLS,1101 S Arlington Ridge Rd #201,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,1/14/19,TTR Sotheby's International Realty (TTRS5),"$375,000 "
22202,VAAR102452,RES,CLS,1805 Crystal Dr #1004s,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,1/9/19,TTR Sotheby's International Realty (TTRS8),"$355,000 "
22202,VAAR101696,RES,CLS,1109 21st St S,Arlington,"Arlington, VA",5,Detached,12/20/18,"Arlington Realty, Inc. (ARL1)","$1,150,000 "
22202,VAAR101552,RES,CLS,2316 S Ives St,Arlington,"Arlington, VA",2,Detached,1/15/19,"American Homes Realty, Inc. (AMH1)","$800,000 "
22202,VAAR101138,RES,CLS,1805 Crystal Dr #810s,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,1/2/19,"Long & Foster Real Estate, Inc. (LNG66)","$620,000 "
22202,VAAR100704,RES,CLS,2308 Ives St,Arlington,"Arlington, VA",2,Detached,11/30/18,"American Homes Realty, Inc. (AMH1)","$700,000 "
22202,VAAR100620,RES,CLS,1200 S Arlington Ridge Rd #405,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,12/14/18,Century 21 Redwood Realty (RDWG2),"$260,000 "
22202,1010014954,RES,CLS,"1200 Crystal Dr #1713, 1714",Arlington,"Arlington, VA",3,Unit/Flat/Apartment,12/14/18,"McEnearney Associates, Inc. (MCE1)","$1,430,000 "
22202,VAAR100406,RES,CLS,3600 S Glebe Rd #923W,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,11/29/18,KW Metro Center (KWR19),"$560,000 "
22202,VAAR100110,RES,CLS,739 20th St S,Arlington,"Arlington, VA",3,Detached,10/31/18,Optime Realty (OPMR1),"$540,000 "
22202,VAAR100080,RES,CLS,1101 Arlington Ridge Rd S #113,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,12/4/18,Coldwell Banker Residential Brokerage (CBRB54),"$549,000 "
22202,VAAR100052,RES,CLS,935 21st St S,Arlington,"Arlington, VA",4,Detached,10/26/18,Keller Williams Realty (KWR21),"$1,049,000 "
22202,1010007830,RES,CLS,2335 Meade St,Arlington,"Arlington, VA",4,Detached,1/28/19,"Arlington Realty, Inc. (ARL1)","$825,000 "
22202,1009999918,RES,CLS,506 26th Rd S,Arlington,"Arlington, VA",2,Twin/Semi-Detached,11/26/18,Keller Williams Realty (KWR21),"$530,075 "
22202,1009993332,RES,CLS,3650 Glebe Rd S #367,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,11/29/18,RLAH Real Estate (RLVH3),"$346,000 "
22202,1009984466,RES,CLS,1300 Army Navy Dr #212,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,12/10/18,Coldwell Banker Residential Brokerage (CBRB106),"$390,000 "
22202,1009984406,RES,CLS,2418 Fort Scott Dr,Arlington,"Arlington, VA",4,Detached,12/10/18,KW Metro Center (KWR17),"$1,015,000 "
22202,1009971004,RES,CLS,1300 Crystal Dr #1510s,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,4/5/19,"Long & Foster Real Estate, Inc. (LNG183)","$590,000 "
22202,1009961876,RES,CLS,1001 17th St S,Arlington,"Arlington, VA",5,Detached,10/18/18,"Metropolitan Regional Information Systems, Inc. (MRIS1)","$997,250 "
22202,1009946490,RES,CLS,654 15th St S #2,Arlington,"Arlington, VA",3,Row/Townhouse,11/20/18,Allison James Estates & Homes (AJEH1),"$578,000 "
22202,1009941442,RES,CLS,1015 21st St S,Arlington,"Arlington, VA",3,Detached,11/19/18,"RE/MAX Gateway, LLC (RMAX154)","$614,000 "
22202,1009932318,RES,CLS,1211 Eads St S #1504,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,12/10/18,Keller Williams Realty (KWR18),"$512,000 "
22202,1009920814,RES,CLS,3600 Glebe Rd S #634W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,11/12/18,"Long & Foster Real Estate, Inc. (LNG196)","$340,000 "
22202,1009919178,RES,CLS,1300 Army Navy Dr #208,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,11/19/18,Keller Williams Realty (KWR21),"$399,900 "
22202,1008357884,RES,CLS,1805 Crystal Dr #613s,Arlington,"Arlington, VA",3,Unit/Flat/Apartment,11/29/18,Keller Williams Capital Properties (KWCP6),"$610,000 "
22202,1008355160,RES,CLS,1200 Crystal Dr #214,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,1/23/19,Keller Williams Capital Properties (KWCP5),"$574,000 "
22202,1008355146,RES,CLS,1200 Crystal Dr #211,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,1/23/19,Keller Williams Capital Properties (KWCP5),"$450,000 "
22202,1008343104,RES,CLS,3600 Glebe Rd #521W,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,11/16/18,"Long & Foster Real Estate, Inc. (LNG336)","$507,500 "
22202,1007531620,RES,CLS,1300 Army Navy Dr #303,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,11/12/18,RE/MAX Allegiance (RMAX127),"$270,000 "
22202,1007364442,RES,CLS,602 19th St S,Arlington,"Arlington, VA",3,Detached,11/5/18,Keller Williams Realty (KWR17),"$898,000 "
22202,1007106790,RES,CLS,813 31st St S,Arlington,"Arlington, VA",4,Detached,12/19/18,RE/MAX Realty Services (RBE1),"$760,000 "
22202,1006603816,RES,CLS,3600 Glebe Rd S #227W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,11/16/18,Keller Williams Realty Falls Church (KWR30),"$338,525 "
22202,1006269980,RES,CLS,1805 Crystal Dr #1014s,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,11/30/18,KW Metro Center (KWR17),"$344,000 "
22202,1006217564,RES,CLS,1300 Arlington Ridge Rd S #617,Arlington,"Arlington, VA",0,Unit/Flat/Apartment,11/19/18,Century 21 New Millennium (CENT2007),"$187,500 "
22202,1006096990,RES,CLS,3600 Glebe Rd S #302W,Arlington,"Arlington, VA",0,Unit/Flat/Apartment,11/29/18,TTR Sothebys International Realty (TTRS3),"$255,109 "
22202,1006077824,RES,CLS,1000 20th St S,Arlington,"Arlington, VA",3,Detached,11/5/18,"Neighborhood Real Estate, LLC. (NEIB1)","$725,000 "
22202,1006038734,RES,CLS,2721 Grant St S,Arlington,"Arlington, VA",3,Detached,10/12/18,FRANKLY REAL ESTATE INC (FRA1),"$765,000 "
22202,1006036534,RES,CLS,1515 Arlington Ridge Rd #205,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,12/20/18,DC Living Real Estate LLC (DCLR1),"$494,000 "
22202,1005608182,RES,CLS,3600 Glebe Rd S #407W,Arlington,"Arlington, VA",0,Unit/Flat/Apartment,10/23/18,Samson Properties (SAMP1),"$240,000 "
22202,1005573740,RES,CLS,943 26th St S,Arlington,"Arlington, VA",3,Detached,2/16/10,"Long & Foster Real Estate, Inc. (LNG95)","$740,000 "
22202,1005393566,RES,CLS,1300 Crystal Dr #1709s,Arlington,"Arlington, VA",3,Unit/Flat/Apartment,10/12/18,"Long & Foster Real Estate, Inc. (LNG78)","$650,000 "
22202,1004976728,RES,CLS,1200 Arlington Ridge Rd S #603,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,12/18/18,Samson Properties (SAMP1),"$215,000 "
22202,1004179292,RES,CLS,3600 Glebe Rd S #221W,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,11/15/12,"'Weichert, REALTORS (WEI64)","$460,000 "
22202,1004139142,RES,CLS,1706 23rd St S,Arlington,"Arlington, VA",2,Row/Townhouse,11/21/18,"Weichert, REALTORS (WEI58)","$717,500 "
